I,あい,一人称単数,
My,まい,一人称単数,
Me,みー,一人称単数,
Mine,まいん,一人称単数,
You,ゆー,二人称単数,
Your,ゆあ,二人称単数,
You,ゆー,二人称単数,
Yours,ゆあーず,二人称単数,
He,ひー,三人称単数,
His,ひず,三人称単数,
Him,ひむ,三人称単数,
His,ひず,三人称単数,
She,しー,三人称単数,
Her,はー,三人称単数,
Her,はー,三人称単数,
Hers,はーず,三人称単数,
It,いっと,三人称単数,
Its,いっつ,三人称単数,
It,いっと,三人称単数,
We,うぃー,一人称複数,
Our,あわー,一人称複数,
Us,あす,一人称複数,
Ours,あわーず,一人称複数,
You,ゆー,二人称複数,
Your,ゆあ,二人称複数,
You,ゆー,二人称複数,
Yours,ゆあーず,二人称複数,
They,ぜい,三人称複数,
Their,ぜあーず,三人称複数,
Them,ぜむ,三人称複数,
Theirs,ぜあーず,三人称複数,
